Frequency of Total,Dollars In This PC,Purpose Code,Conner Estimate,Jamie Estimate,Final Estimate,Spider Estimate,Score,Score w/o PC,,
0.000586049,"$9,765.87",INTERNET COMMUNICATIONS (FROM ADVANCE LINE 21),Media,Digital,Digital,Digital+Media,1,1,,
0.000586049,"$1,777,109.63",LITERATURE,Administrative,Field,Field,Administrative,0,0,,
0.000583545,"$723,481.23",SALARY / BENEFITS,Administrative,Administrative,Administrative,Administrative,1,1,,
0.000583545,"$1,615,004.27",MEDIA BUY - CANDIDATE SPECIFIC,Media,Media,Media,Media,1,1,,
0.000566013,"$101,360.34",DIGITAL ADVERTISING - FACEBOOK,Digital,Digital,Digital,Digital,1,1,,
0.000561004,"$4,825,254.20",RADIO AD,Media,Media,Media,Media+Digital,1,1,,
0.0005585,"$13,306,401.45",DIRECT MAIL SERVICES,Fundraising,Fundraising,Fundraising,Fundraising,1,1,,
0.000555995,"$205,267.38",AD PRODUCTION COSTS,Media,Media+Digital,Media,Digital+Media,0.5,0,,
0.000548482,"$4,774,978.94",TV / MEDIA PRODUCTION,Media,Media,Media,Media,1,1,,
0.00053095,"$75,714.20",TRAVEL EXPENSES,Administrative,Travel,Travel,Administrative,1,1,,
0.000525941,"$237,124.30",VOTER MAIL,Polling,Field,Field,Field,1,1,,
0.000515924,"$111,760,125.90",TV/MEDIA PLACEMENT,Media,Media,Media,Media,1,1,,
0.000503401,"$40,803,327.41",TV ADVERTISING,Media,Media,Media,Media,1,1,,
0.000495888,"$1,949,890.58",DIRECT MAIL - POSTAGE,Administrative,Fundraising,Fundraising,Fundraising+Administrative,1,1,,
0.000480861,"$2,845,202.79",TELEPHONE CALLS,Polling,Administrative,Administrative,Administrative,1,1,,
0.000480861,"$2,425,140.86",MEDIA PRODUCTION ESTIMATE,Media,Media,Media,Media,1,1,,
0.00045832,"$94,171.66",GRAPHIC ART DESIGN,Administrative,Digital,Digital,Media,0,0,,
0.000445798,"$20,207.86",FLIGHT,Travel,Travel,Travel,Administrative,1,1,,
0.000443293,"$774,922.10",PHONES,Administrative,,Administrative,Administrative,1,1,,
0.000408231,"$674,611.55",RADIO AD - ENOUGH,,,,,0.803921569,0.784313725,,
0.000408231,"$183,557.79",NEWSPAPER ADVERTISEMENT,,,,,,,,
0.000398213,"$238,935.43",ONLINE AD,,,,,,,,
0.000393204,"$66,818.50",OUTREACH AND PAID PRINTING DISTRIBUTION,,,,,,,,
0.000393204,"$163,579.16",SEARCH ENGINE ADVERTISING,,,,,,,,
0.000388195,"$36,293.60",SALARIES & BENEFITS,,,,,,,,
0.000388195,"$5,984,965.65",TV AD,,,,,,,,
0.000375672,"$16,133.26",DIGITAL ADVERTISING - GOOGLE,,,,,,,,
0.000370663,"$57,846.91",CANVASSER PERSONNEL COSTS,,,,,,,,
0.000368159,"$38,383.80",EMAIL COSTS (FROM ADVANCE LINE 21),,,,,,,,
0.000368159,"$1,097,264.53",ROBO CALLS,,,,,,,,
0.000365655,"$14,190.08",PRESS RELEASE (FROM ADVANCE LINE 21),,,,,,,,
0.00036315,"$3,973.86",STAFF TIME FOR PRESS RELEASE,,,,,,,,
0.000360646,"$45,376.54",MAIL PRODUCTION COSTS (FROM ADVANCE LINE 21),,,,,,,,
0.000358141,"$4,503,351.93",DIGITAL AD BUY,,,,,,,,
0.000355637,"$3,360,242.00",MAIL,,,,,,,,
0.000353132,"$1,031,691.45",ROBOCALLS,,,,,Media,,,
0.000343114,"$1,635,306.77",INTERNET ADS,,,,,Digital,,,
0.000338105,"$752,588.35",PRODUCTION COSTS,,,,,Polling,,,
0.000335601,"$5,735,292.70",MEDIA PURCHASE,,,,,Legal,,,
0.000335601,"$2,959,927.44",RADIO ADVERTISEMENT,,,,,Field,,,
0.000325583,"$58,869,834.43",MEDIA BUY TV,,,,,Consulting,,,
0.000323078,"$148,964.40",ESTIMATED PAYMENT FOR SALARY AND BENEFITS FROM 9/1-9/30,,,,,Administrative,,,
0.000323078,"$526,404.51",GOTV PHONE CALLS,,,,,Fundraising,,,
0.000320574,"$3,172,389.21",PHONE BANKS,,,,,Travel,,,
0.000318069,"$3,326,294.24",DIRECT MAIL PRODUCTION,,,,,Misc,,,
0.000315565,"$20,062.91",HOUSING,,,,,,,,
0.00031306,"$1,141,675.59",ONLINE VOTER CONTACT,,,,,,,,
0.000310556,"$34,884.88",PAID DISTRIBUTION - VOTE FOR HILLARY CLINTON (ESTIMATED),,,,,,,,
0.000310556,"$27,950.88",DIGITAL ADVERTISING - TWITTER,,,,,,,,
0.000305547,"$7,636.79",DESIGN FLIERS,,,,,,,,
0.000305547,"$1,089,044.18","MAIL PRODUCTION COSTS, POSTAGE",,,,,,,,
0.000303042,"$11,043,997.70",WEB ADS,,,,,,,,
0.000300538,"$89,174.53",PHONE MINUTES,,,,,,,,
0.000298033,"$1,217,368.87",T-SHIRTS,,,,,,,,
0.000295529,"$84,200.65",PRINT 4 COLOR FLYERS,,,,,,,,
0.000288016,"$1,145,505.58",WEB ADVERTISING,,,,,,,,
0.000288016,"$29,807.50",TV AD PRODUCTION COSTS (FROM ADVANCE LINE 21),,,,,,,,
0.000288016,"$8,819,450.00",TELEVISION ADVERTISEMENT - NATIONALLY DISTRIBUTED,,,,,,,,
0.000288016,"$5,500,443.73",POSTAGE / PRINTING / PRODUCTION,,,,,,,,
0.000283007,"$1,256,773.34",TV AD PRODUCTION,,,,,,,,
0.000280502,"$57,287.40",PAYROLL AND BENEFITS,,,,,,,,
0.000277998,"$5,492,255.76",VOTER CONTACT PHONES: SYSTEM & PERSONNEL,,,,,,,,
0.000270484,"$18,596,604.60",TV ADVERTISING BUY,,,,,,,,
0.000270484,"$616,636.85",DIRECT MAIL - PRINTING,,,,,,,,
0.000265475,"$65,661.56",AIRFARE,,,,,Media,,,
0.000257962,"$397,675.26",CANVASSING SALARY & BENEFITS,,,,,Digital,,,
0.000255457,"$9,386,105.69",DIGITAL ADVERTISING - ESTIMATE,,,,,Polling,,,
0.000255457,"$10,059,537.87",TELEVISION ADVERTISEMENT,,,,,Legal,,,
0.000255457,"$1,149.62",PROOFREADING,,,,,Field,,,
0.000252953,"$102,596.49",PHONE CAMPAIGN,,,,,Consulting,,,
0.000252953,"$2,326,418.50",DIGITAL ADS,,,,,Administrative,,,
0.000250448,"$364,436.50",PRINT 4 COLOR CARDS,,,,,Fundraising,,,
0.000247944,"$1,821,821.32",NATIONAL RADIO ADVERTISING,,,,,Travel,,,
0.000247944,"$27,036,639.68","TV AD AIR BUY, PRODUCTION COSTS",,,,,Misc,,,
0.000247944,"$939,017.69",PRINTING - ESTIMATE,,,,,,,,
0.000247944,"$339,486.60",PRINTING OF POSTCARDS,,,,,,,,
0.000247944,"$283,145.78","CREATIVE, PRODUCTION, MAIL",,,,,,,,
0.000245439,"$1,520,568.15",GOTV CALLS,,,,,,,,
0.000242935,"$951,105.52",RADIO AND EMAIL ADVERTISING; ALSO OPPOSES MITT ROMNEY,,,,,,,,
0.000242935,"$46,248.07",IE-HATCH-TRAVEL,,,,,,,,
0.000242935,"$586,800.00",VOTER CONTACT CALLS OVER SEVERAL WEEKS,,,,,,,,
0.00024043,"$6,043,244.35",RADIO AD BUY,,,,,,,,
0.00024043,"$3,089,546.22",DIRECT MAIL POSTAGE,,,,,,,,
0.00024043,"$5,272.38",WAGES FOR PHONE BANK SERVICES,,,,,,,,
0.00024043,"$797,037.30",ADVERTISING - ONLINE,,,,,,,,
0.000237926,$123.00,TOLL,,,,,,,,
0.000232917,"$3,147,174.86",POSTAGE/PRODUCTION FOR POSTCARDS,,,,,,,,
0.000232917,$978.32,PARKING,,,,,,,,
0.000227908,"$1,286,082.20",ONLINE ADS,,,,,,,,
0.000220395,"$14,489,010.84",MEDIA TIME BUY,,,,,,,,
0.000220395,"$1,525,033.19",TELEMARKETING,,,,,,,,
0.000220395,"$16,538.80",LITERATURE DISTRIBUTION,,,,,,,,
0.000220395,"$235,486.69",RADIO AD PRODUCTION,,,,,,,,
0.000220395,"$249,107.13",RADIO PRODUCTION,,,,,,,,
0.00021789,"$1,509,082.54",ONLINE VIDEO PRODUCTION COSTS,,,,,,,,
0.00021789,"$200,186.87",WEB AD,,,,,,,,
0.00021789,"$3,624,311.01",DIGITAL MEDIA,,,,,,,,
0.000215386,"$1,768,796.36",POLLING,,,,,,,,
0.000215386,"$32,871.28",SIGN PREPARATION & DISTRIBUTION,,,,,,,,
0.000212881,"$34,361.05",EMAILS,,,,,,,,
0.000212881,"$6,996.38",SALARY (W/ TAXES & BENEFITS),,,,,,,,
0.000212881,"$277,175.39",EMAIL COMMUNICATION,,,,,,,,
0.000207872,"$67,743.00",ESTIMATED PAYMENT FOR SALARY AND BENEFITS FROM 10/1-10/15,,,,,,,,
0.000200359,"$954,000.00",ONLINE/DIGITAL ADS & PRODUCTION,,,,,,,,
0.000200359,"$1,511,571.78",VOTER CONTACT PHONES,,,,,,,,
0.000197854,"$220,553.68",FACEBOOK ADS,,,,,,,,
0.000197854,"$6,133.71",SUPPLIES,,,,,,,,
0.00019535,"$246,161.93",MAIL PRODUCTION COSTS,,,,,,,,
0.000192845,"$14,123.04",RENTAL VEHICLE,,,,,,,,
0.000192845,"$3,036.95",PRO BENNET MESSAGING/COMMUNICATION,,,,,,,,
0.000192845,"$1,063,815.13",VIDEO PRODUCTION (ESTIMATE),,,,,,,,
0.000190341,"$4,986,574.77",DOOR TO DOOR VOTER CONTACT,,,,,,,,
0.000190341,"$33,901,536.75",MEDIA PLACEMENT - BROADCAST/CABLE,,,,,,,,
0.000190341,"$26,319,640.91",TV AD BUY,,,,,,,,
0.000190341,"$33,441.62","COPY, ART & PRODUCTION",,,,,,,,
0.000187836,"$4,407.79",PARYROLL & BENEFITS - NO ON TRUMP,,,,,,,,
0.000187836,"$55,776.67",COPY WRITING,,,,,,,,
0.000187836,"$41,927.11",IE-MCDANIEL-TRAVEL,,,,,,,,
0.000187836,"$540,621.82",MASS MAILINGS,,,,,,,,
0.000185332,"$275,282.64",PRINTING OF MAIL PIECE,,,,,,,,
0.000182827,"$962,526.65",PRINTING / POSTAGE,,,,,,,,
0.000182827,"$134,401.96",STAFF EXPENSES,,,,,,,,
0.000182827,"$4,448,748.91",VOTER CONTACT PHONES: PERSONNEL,,,,,,,,
0.000180323,"$36,000.00",GRAPHICS FOR MAIL PIECE,,,,,,,,
0.000180323,"$3,366,937.90",ADVERTISEMENT,,,,,,,,
0.000177818,"$921,933.11",VOTER CONTACT PHONES: SYSTEM,,,,,,,,
0.000177818,"$465,585.99",PRODUCTION OF MAIL PIECE,,,,,,,,
0.000177818,"$519,385.12","MAIL COSTS, POSTAGE",,,,,,,,
0.000175314,"$11,981.10",PHONE SOLICITATIONS (FROM ADVANCE LINE 21),,,,,,,,
0.000175314,"$14,462.35",EMAIL CONSULTING,,,,,,,,
0.000175314,"$2,987,932.46",TV ADVERTISEMENT,,,,,,,,
0.000175314,"$733,571.00",ADVERTISING SERVICES AND PRODUCTION,,,,,,,,
0.000172809,"$3,205,626.55",DIGITAL MEDIA PLACEMENT,,,,,,,,
0.000172809,"$117,068.15",SOCIAL MEDIA BUY,,,,,,,,
0.000172809,"$2,457,445.37",POSTAGE FOR MAIL PIECE,,,,,,,,
0.000172809,"$29,573,975.53",MEDIA BUY - ESTIMATE,,,,,,,,
0.000172809,"$25,393.00",DONATION PROCESSING,,,,,,,,
0.0001678,"$233,974.43",ESTIMATED COST:  T-SHIRTS,,,,,,,,
0.0001678,"$32,698.25",FIELD ORGANIZER,,,,,,,,
0.0001678,"$693,643.12",TELEVISION PRODUCTION,,,,,,,,
0.0001678,"$4,766,837.25",POSTAGE PRINTING/PRODUCTION,,,,,,,,
0.0001678,"$35,043.80",IE-HATCH-EST. STAFF & OVERHEAD,,,,,,,,
0.000165296,"$202,634.03",SOCIAL MEDIA ADVERTISING,,,,,,,,
0.000165296,"$5,334.45",PR,,,,,,,,
0.000162791,"$16,913,661.14",ADVERTISING - TV,,,,,,,,
0.000162791,"$2,226,209.62",PRODUCTION,,,,,,,,
0.000160287,"$347,477.81",PRINTING/BROCHURES,,,,,,,,
0.000157782,"$26,250.00",SOCIAL MEDIA AD PLACEMENT FEE,,,,,,,,
0.000157782,"$27,821.16",MAIL COSTS (FROM ADVANCE LINE 21),,,,,,,,
0.000157782,"$26,085.13",REIMBURSED EXPENSES - SEE MEMOS,,,,,,,,
0.000157782,"$3,164.74",WEB PAGE ADS,,,,,,,,
0.000155278,"$37,560.17",PRINT 4 COLOR DOOR HANGERS,,,,,,,,
0.000155278,"$14,659.51",POSTAGE & MAILSHOP FEES,,,,,,,,
0.000155278,"$53,873.61",GRAPHIC DESIGN,,,,,,,,
0.000155278,"$667,143.17",PRINTING AND POSTAGE,,,,,,,,
0.000152773,"$3,963,530.83",RADIO ADVERTISING BUY,,,,,,,,
0.000152773,"$390,094.43",WEB MEDIA,,,,,,,,
0.000152773,"$280,762.68",PRINTING MAIL,,,,,,,,
0.000152773,"$21,329,441.66",DIGITAL AD BUY (ESTIMATE),,,,,,,,
0.000150269,"$275,953.51",AUTOMATED CALLS,,,,,,,,
0.000150269,"$6,788.72",JOB AD,,,,,,,,
0.000147764,"$386,997.47",NEWSPAPER ADVERTISING,,,,,,,,
0.00014526,"$350,088.84",DIGITAL MEDIA PRODUCTION,,,,,,,,
0.000142756,"$330,318.21",MEDIA BUY FOR RADIO AD,,,,,,,,
0.000142756,"$476,125.44",GOTV - ONLINE ADVERTISING,,,,,,,,
0.000140251,"$7,800.00","TRAVEL-PHONE BANK, ESTIMATE",,,,,,,,
0.000140251,$384.00,"TRAVEL-CANVAS, ESTIMATE",,,,,,,,
0.000140251,"$22,928.07",IE-MCDANIEL-EMAIL/SOCIAL MEDIA/PRINTING,,,,,,,,
0.000140251,"$42,787.20",IE-MACK-TRAVEL,,,,,,,,
0.000137747,"$796,545.69",TV ADVERTISING PRODUCTION,,,,,,,,
0.000137747,"$42,570.00",E-MARKETING-ALLOCATION OF RETAINER,,,,,,,,
0.000137747,"$80,000.01",VOTER CONTACT CALLS OVER NEXT SEVERAL WEEKS,,,,,,,,
0.000137747,"$938,316.62",VOTER CONTACT-TELEPHONE CALLS,,,,,,,,
0.000135242,"$23,050.00",PHONE BANK SERVICES IND. EXP,,,,,,,,
0.000135242,"$6,602.50",TELEMARKETING FUNDRAISING,,,,,,,,
0.000135242,"$46,000.00",SCRIPT WRITING,,,,,,,,
0.000132738,"$1,165.97",TRAVEL FOR CANVASS,,,,,,,,
0.000132738,"$11,388.52","TRANSPORTATION, LODGING",,,,,,,,
0.000132738,"$207,807.15",PAC PRINTING,,,,,,,,
0.000130233,"$1,926,315.61",RADIO BUY,,,,,,,,
0.000130233,"$98,162.08",MEDIA PRODUCTION EXPENSE,,,,,,,,
0.000130233,"$371,326.91",MEDIA PRODUCTION & AIRTIME,,,,,,,,
0.000130233,"$1,092,809.64",PAYMENT FOR VOTER CONTACT PROGRAM,,,,,,,,
0.000130233,"$10,412.28",STAFF TIME ON SOCIAL MEDIA POSTS,,,,,,,,
0.000130233,"$169,407.02",CANVASS LIT,,,,,,,,
0.000130233,"$9,473.94",EMPLOYEE SALARY FOR GROUND CAMPAIGN,,,,,,,,
0.000127729,"$82,952.81",PREPAY SALARY / BENEFITS,,,,,,,,
0.000127729,"$54,999.99",DRUDGE RPT ONLINE AD & EMAIL LISTS,,,,,,,,
0.000127729,"$68,997.98",CAMPAIGN LITERATURE,,,,,,,,
0.000127729,"$400,000.00",VOTER CONTACT OVER SEVERAL WEEKS,,,,,,,,
0.000127729,"$267,425.00",BUS RENTAL,,,,,,,,
0.000127729,"$15,000.00",TV ADS - FOX NEWS (3/28 & VARIOUS OTHER DATES),,,,,,,,
0.000127729,"$24,819.55",VOTER CONTACT -- MAIL DROP 10/4,,,,,,,,
0.000125224,"$414,554.71",PRINTING - CANVASSING LITERATURE,,,,,,,,
0.000125224,"$1,318,009.57",MAILERS,,,,,,,,
0.00012272,"$7,188.53",MEDIA PLACEMENT - DIGITAL (ESTIMATE),,,,,,,,
0.00012272,"$8,035,981.02",TELEVISION ADVERTISING - MEDIA PLACEMENT,,,,,,,,
0.00012272,"$159,127.93",MEDIA PRODUCTION; ALSO OPPOSES MITT ROMNEY,,,,,,,,
0.00012272,"$159,409.85",CANVASS EXPENSE,,,,,,,,
0.00012272,"$5,775,919.92",RADIO PLACEMENT,,,,,,,,
0.00012272,"$34,860.64",MAIL COSTS,,,,,,,,
0.00012272,"$12,567,916.03",TV BUY,,,,,,,,
0.000120215,"$12,514,880.17",TELEVISION ADS,,,,,,,,
0.000120215,"$33,015.03",TELEVISION PRODUCTION AND FILM COSTS,,,,,,,,
0.000120215,"$1,308.78",PARYROLL & BENEFITS - NO ON COFFMAN,,,,,,,,
0.000120215,"$10,729,198.06",LABOR AND POSTAGE FOR MAILPIECE,,,,,,,,
0.000120215,"$4,050,569.52",MEDIA PLACEMENT - DIGITAL,,,,,,,,
0.000120215,"$42,467.76",TRAVEL EXPENSES FOR BUS TOUR,,,,,,,,
0.000120215,"$1,020,355.10",RESEARCH,,,,,,,,
0.000120215,"$700,162.79",PRODUCTION AND POSTAGE FOR POLITICAL MAIL,,,,,,,,
0.000120215,"$357,197.50",VEHICLE RENTAL,,,,,,,,
0.000117711,"$1,475.66",PRINT DESIGN,,,,,,,,
0.000117711,"$56,661.20",CAMPAIGN MATERIALS,,,,,,,,
0.000117711,"$902,102.30",WEB VIDEO,,,,,,,,
0.000117711,"$28,850.00",GRAPHIC ART FEE,,,,,,,,
0.000115206,"$1,681,807.89",MAIL PIECE,,,,,,,,
0.000115206,"$636,563.01",EST. PAYMENT FOR RALLY EXPENSES,,,,,,,,
0.000115206,"$952,004.50",PRINTING FOR MAILPIECE,,,,,,,,
0.000115206,"$792,827.42",PRINT ADVERTISING,,,,,,,,
0.000115206,"$2,732.66",INTERNET COMMUNICATION (FROM ADVANCE LINE 21),,,,,,,,
0.000115206,"$51,920.71",SHIPPING,,,,,,,,
0.000112702,"$138,604.74",ON-LINE ADS,,,,,,,,
0.000112702,"$452,195.49",FACEBOOK ADVERTISING,,,,,,,,
0.000112702,"$12,862,916.70",DIRECT MAIL COSTS,,,,,,,,
0.000112702,"$132,431.51",POSTAGE AND PRINTING,,,,,,,,
0.000112702,"$920,783.03",RADIO MEDIA BUY,,,,,,,,
0.000112702,"$124,303.48",VOLUNTEER RECRUITMENT,,,,,,,,
0.000112702,"$1,512,537.13",PRINTED ADVERTISING FOR MAILING,,,,,,,,
0.000112702,"$37,770.76",SALARIES AND BENEFITS,,,,,,,,
0.000110197,"$789,274.63",DOOR TO DOOR CANVASS,,,,,,,,
0.000110197,"$57,640.00",GRAPHICS FOR MAILPIECE,,,,,,,,
0.000110197,"$650,698.99",ON-LINE ADVERTISING,,,,,,,,
0.000110197,"$21,230.97","ESTIMATED COST FOR SALARY, BENEFITS & OTHER CANVASS-RELATED EXPENSES",,,,,,,,
0.000110197,"$289,600.00",ONLINE DIGITAL BUYS,,,,,,,,
0.000110197,"$3,450.00",HOURLY PAY,,,,,,,,
0.000110197,"$338,040.47",ONLINE ADVERTISING PRODUCTION,,,,,,,,
0.000110197,"$18,566.51",VOTER GUIDE,,,,,,,,
0.000107693,"$70,786.50",VOTER CONTACT EMAILS,,,,,,,,
0.000107693,"$278,137.72",YARD SIGNS,,,,,,,,
