,Purpose Code,Categorization
4476,IE-LOVE-ONLINE ADS,digital
6317,PRESS EVENT COSTS,media
257,GOTV CONSULTING,consulting
295,CAMPAIGN ADVICE,consulting
5899,PALMCARDS,media
4945,RADIO AD DISTRIBUTION,media
343,MARKETING CONSULTING FEE,consulting
6471,TV PRODUCTION COSTS OF 'PATRICIA' - ESTIMATE,media
1172,POST-PRODUCTION COSTS,media
743,CAMPAIGN FINANCE ACCOUNTING AND REPORTIN,legal
383,GENERAL POLITICAL CONSULTING,consulting
1945,PAT BOONE VOTER CONTACT FOR BARBARA COMSTOCK,field
368,CAMPAIGN CONSULTING STAFF,consulting
3753,TELEVISION ADVERTISING FOR 10/07/13 WYOMING AD,media
5829,TV ADVERTISING (PLACEMENT),media
607,LEGAL AND COMPLIANCE SERVICES,legal
873,CAMPAIGN POLLING,polling
929,BANNERS PRODUCTION AND SHIPPING - DISSEMINATED 10/31/2016,media
2890,PERMITS FOR 'HELLO ROMNEY',field
7842,TV AND DIGITAL PRODUCTION COSTS,digital
2306,MAILING LIST BROKERAGE ESTIMATE OF NATIONWIDE DM OPPOSING HILLARY CLINTON. DMS SENT ON 8/26/15.,fundraising
4225,MILEAGE REIMBURSEMENT FOR RESEARCH,travel
4562,WEB COPYWRITING - ESTIMATED COST,digital
2011,BUMPER STICKERS/LAPEL STICKERS/STATIC STICKERS,field
447,PRINTING & MAIL SHOP ESTIMATE OF DM OPPOSING HILLARY CLINTON. DMS SENT ON 10/07/15.,administrative
2927,NEW TV AD PRODUCTION COSTS (PULL FROM ADVANCE LINE 21),media
166,FACEBOOK ADS,digital
724,PAYMENTS TO CRONE ACCOUNTING,legal
29,BENEFITS COST,administrative
3490,DESIGN ONLINE NEWSLETTER,digital
601,AUDIO VISUAL SERVICES,misc
165,RETIREMENT SERVICES,field
12,CREDIT CARD PAYMENT SEE BELOW,administrative
4417,BILLBOARD ADVERTISMENTS,media
1606,PLACEMENT TV PURCHASE,media
853,PAC TRAVEL,travel
3474,ONLINE ADS; 9/1-9/30 (ESTIMATE),digital
2252,CREATIVE DEVELOPMENT FOR ADVERTISING CAMPAIGN,media
6116,TALENT & CREW TRAVEL EXPENSES - ELECT HILLARY CLINTON RALLY - NON-CONTRIBUTION ACCOUNT,travel
670,LEGAL SETTLEMENT PAYMENT,legal
524,ONLINE MEDIA PRODUCTION,digital
396,DIRECT MAIL ID-02 2014 PRIMARY,fundraising
3286,TV ADVERTISING/PRODUCTION,media
3932,CAPPS-NURSE,travel
4966,DIGITAL AD PRODUCTION COSTS,digital
67,MEDIA DIGITAL ADVERTISING BUY,digital
7836,POSTCARD & MAILING,administrative
3094,STAFF TIME ON SOCIAL MEDIA POSTS AND EMAIL (ALSO OPPOSING DONALD TRUMP),digital
1052,VIDEO PRODUCTION - ESTIMATE,media
5213,THE EXHIBIT PLACE - INVOICE 27495 (FLYERS),media
270,PRODUCTION AND EDITING SERVICES FOR INTERNET ADS,digital
6831,IE-BERKLEY-ONLINE ADS,digital
6789,MEDIA BUY - TN 07/10/14 AD,media
6673,COPIES OF NEWSPAPER ADVERTISEMENT,media
7008,ESTIMATE OF CANVAS WORKERS,field
3026,PHOTOGRAPH FOR NEWSPAPER ADVERTISEMENT,media
712,11/7/16 AUTOMATED CALLS,field
796,CATERING FOR 11 20 12 2 AND 12 3 EVENTS,misc
6394,PALM CARDS FOR CANVASS,field
16,LODGING,administrative
5425,ROBOCALLS (NON-CONTRIBUTION ACCOUNT),field
2481,RENT FOR CANVASS OFFICE,field
4517,AD CREATION AND PLACEMENT OF SOCIAL MEDIA AD RUNNING 11/2/ - 11/8,digital
5282,IE-KIRKPATRICK-DIRECT MAIL/BROCHURES,fundraising
931,GENERIC CMTE RESEARCH MATERIALS,polling
4987,9/25 FACEBOOK ADVERTISING,digital
2484,IE-HARMER-DOOR HANGERS,field
3318,SHIPPING COSTS FOR T-SHIRTS,field
5891,DIGITAL ADVERTISING AND WEBSITE,digital
609,TRANSCRIPTION SERVICES,misc
5701,EVENT MATERIALS,administrative
688,LEGAL ADVICE,legal
222,EVENT CONSULTING,consulting
5322,IE-RIBBLE-VOTER ID CALLS,field
7982,DOOR TO DOOR CANVASS (10/28/16 TO 11/3/16) ESTIMATED AMOUNT,field
901,TRAVEL AIR TRANSPORTATION,travel
6206,MAD SCIENTIST PRODUCTION\TTV PRODUCTION,media
3187,IE-SCHULTZ-ONLINE ADS,digital
799,SUPPLIES FOR EVENTS,misc
594,FUNDRAISER CATERING,fundraising
1889,COPYWRITING FOR EMAIL COMMUNICATION,administrative
5345,LETTER & POSTAGE,administrative
2786,"ESTIMATED COST FOR SALARY, BENEFITS & CANVASS-RELATED EXPENSES FROM  9/12-9/16",field
4521,RADIO ADS (10/10 - 10/22/2016),media
701,TRANSCRIPTION SERVICE,misc
3664,BUS  TOUR - VIDEOGRAPHER,media
3675,MAILERS ('OBAMACARE'),media
3766,MAILING **CORRECTED AMOUNT FROM $48488.24 DUE TO RECVG BILL,administrative
7850,SOCIAL MEDIA PRODUCTION & PLACEMENT: ROMNEY LEADERSHIP,digital
5401,IE-MACK-EQUIPMENT RENTAL,administrative
5304,RADIO PRODUCTION AND AD BUY,media
286,MARKETING CONSULTING,consulting
7167,ONLIND ADS,digital
3231,GRAPHIC DESIGN - VOTE FOR ANNIE KUSTER,digital
4818,MAILER DISTRIBUTED 4/30/2012,media
1131,TRAVEL (ESTIMATE),travel
408,IN KIND CREDIT DONATION TERMS,fundraising
928,EVENT PRODUCTION TRAVEL,travel
5900,STAFF TIME FOR PHONE BANK,field
6046,PROMOTED TWEETS/TWITTER HANDLE,digital
6144,MEDIA PRODUCTION EXPENSES - SOUND,media
7052,TELEVISON AD,media
5721,TELEVISION PRODUCTION - ESTIMATE,media
5727,DIGITAL MESSAGING DELIVERY AND ROBOCALLS,digital
5688,IL 10-MAILER PRODUCTION,media
7278,ESTIMATE: ADVERTISING - FACEBOOK,digital
628,EVENT AUDIO VISUAL,misc
4108,LOCATION RENTAL AND STAFF TIME,field
2946,PRINTED FLYERS - VA,field
966,BUS RENTAL WRAP PERSONNEL TOUR EXPEN,travel
5169,VOTER CONTACT PHONES: SYSTEM & PERSONNEL,field
6160,CANVASSER - MILWAUKEE,field
3164,ESTIMATED PRINTING AND POSTAGE COSTS,administrative
5911,"TV AND DIGITAL ADVERTISEMENT JACKPOT AGAINST WOODY WHITE, 4/30 - 5/6.",digital
5314,IE-MOURODCK-SIGNAGE,field
176,SALARY EXPENSE,administrative
3375,IE-MACK-GRASSROOTS ORGANIZING,field
4352,TV MEDIA - 'MET',media
3138,PRINT MEDIA PLACEMENT,media
2601,UFCW FOR OBAMA SHIRTS,field
1058,ESTIMATE OF MAY MONTHLY EXTERNAL DEPLOYMENT COSTS,administrative
5590,IE-SMITH-EMAIL LIST RENTAL,digital
7878,PHONE AND EMAIL LIST RENTAL,digital
3152,"VIDEO PRODUCTION  (NY VIDEO, DISSEMINATED 9/9)",media
51,FACILITY RENTAL CATERING SERVICES,administrative
114,POSTCARD POSTAGE/ VOTE PRO-LIFE IN GOP PRIMARY,administrative
4395,PRINTING AND MAILING  ON 10/20,administrative
7044,CREATIVE PRODUCTION - MAIL PIECE 4,media
173,TELEVISION AND DIGITAL ADVERTISEMENT PRODUCTION AND BUYS,digital
4579,POSTAGE FOR MAILERS (ROSS SUPREME COURT),media
5,DIGITAL MEDIA MARKETING REVENUE SHARING,digital
5604,ONLINE ORGANIZING SERVICES,administrative
356,CAMPAIGN CONSULTING AND MAILING,consulting
31,EQUIPMENT RENTAL,administrative
6643,TELEPHONE BANK,field
5235,DESIGN AND PRINTING OF MAIL PIECE,media
348,COLLATERAL T SHIRTS BANNERS STICKERS,field
836,TRAVEL LODGING AMEX SB232859906,travel
7373,FOOD FOR PHONE BANK STAFF,field
7244,CANVASS LITERATURE PIECE AND PLEDGE CARD,field
3804,"ADVERTISING PRODUCTION (SEE SCH D, LINE 10 DEBT)",media
7304,CASTING SERVICES OF OBAMACIN ONLINE AD,digital
6632,"PRODUCTION - RADIO, WEB AND TV SPOTS",digital
2756,LODGING AND TRAVEL EXPENSES FOR CANVASSING. 10/8/16-11/8/16,field
3539,IE-BRALEY-EMAIL/SOCIAL MEDIA/PRINTING,digital
774,TEAMSTERS FOR OBAMA SHIRTS,field
5890,TELEVISION PRODUCTION AND MEDIA BUY - CHARACTER,media
4138,PRINTING - PLACARDS,media
4416,STAFF TIME FOR IEC ROLLOUT,consulting
5233,"DIRECT MAIL POSTAGE, PRINTING, AND MAILING",fundraising
6776,PRINTING AND SHIPPING,administrative
7560,WEBPAGE DEVELOPMENT OPPOSING TIM HUELSKAMP.,digital
4360,RADIO AD PRODUCTION COSTS (FROM ADVANCE LINE 21),media
1713,RADIO ADVERTISING OF 'SCRATCH OFF',media
1831,SLATE CARD MAILER; DISSEMINATION DATE 05/12/2016,media
1449,MEDIA BUY FOR POLITICAL AD,media
4802,TABLET RENTAL FOR CANVASSING 5/5-5/15,field
3701,PRINTING LITERATURE FOR RACINE CANVASS,field
4430,DIRECT MAIL SIMPSON ID-02,fundraising
5174,TV AND ONLINE AD PRODUCTION,digital
6863,"LIST PURCHASE (NV VIDEO, DISSEMINATED 9/7)",media
450,DIRECT MAIL PRODUCTION POSTAGE,fundraising
5640,IE-SASSE-ROBO CALLS,field
393,CANVASSING EXPENSE,field
1963,TV ADS- COLORADO,media
357,GOTV LIVE CALLS,field
7445,MAILING AND PHONE CALLS-DISSEM 3/1/12,administrative
4318,ONLINE ADS - RALLY TO SUPPORT HILLARY CLINTON - NON-CONTRIBUTION ACCOUNT (ESTIMATED),digital
4001,SOCIAL MEDIA AD BUY,digital
6599,DIRECT MAIL PRINTING - SEPTEMBER MAILING - ESTIMATE,fundraising
3007,INFOGRAPHICS,digital
7134,MAIL PRODUCTION COSTS (GRAPHIC DESIGN),media
344,MEDIA DIGITAL CONSULTING,consulting
7925,FLORIDA FIRST IN-KIND CONTRIBUTION: COMMUNICATIONS,fundraising
7479,REIMBURSE VIDEO PRODUCTION COSTS,media
4251,TELEPHONE VOTER CONTACT (ALSO OPPOSES ROMNEY),polling
6838,TELEVISION AND ON-LINE ADVERTISING,digital
5685,"PHONEBANKING; 10/9 - 11/8; DOES NOT REACH $10,000 UNTIL 10/17",field
3071,ESTIMATE: CANVASSING COSTS,field
3775,"TV AND ONLINE ADVERTISEMENT WENT, 4/30 - 5/19.",digital
2383,11/3 TELEVISION ADVERTISING,media
3776,PLEDGE CARD,fundraising
1878,BUS TOUR - EXPENSES - MISC.,travel
1999,SEVENTIES PRODUCTION,media
6542,WEB & INTERNET ADS - GOOGLE,digital
3051,DOOR-TO-DOOR GOTV (ESTIMATED),field
587,DIRECT MAIL ADVERTISING,fundraising
2175,OUTBOUND POSTAGE,administrative
7324,TELEVISION PRODUCTION - ELIZABETH AND RICH,media
153,IE-MANDEL-RESEARCH,polling
156,ADVERTISING  PLACEMENT OF WEB AD VOTED FOR,digital
414,POSTCARD MAILER,media
754,SUPPORT FOR IE -FIELD CANVASS STARTS 7/31/2014,field
6937,MAILING LIST,fundraising
4223,9/28 TO 10/1 RADIO ADVERTISING,media
1516,IE-LOUDERMILK-DIRECT MAIL PRODUCTION,fundraising
123,IN KIND SALARY,administrative
578,DIRECT MAILING ADVERTISING,fundraising
7226,MOBILE VOTER GUIDE,digital
424,TELEMARKETING SERVICES,fundraising
6732,IE-MACK-OFFICE SUPPLIES-NAMETAGS,administrative
5876,"UFCW FOR OBAMA WINDOW CLINGS, BUMPER STI",field
711,EVENT CATERING AND LIGHTING,field
1363,DRAFT PALIN VS BEGICH ONLINE MEDIA BUY,digital
4501,CANVASSING PAYROLL AND TRAVEL,field
4893,IE-UDALL-MEDIA PRODUCTION,media
431,MEDIA BUYS,media
552,TV  MEDIA PRODUCTION,media
4694,TV AND RADIO ADVERTISEMENT PRODUCTION.,media
877,OPPOSITION RESEARCH,polling
3988,CONSULTANT:  STRATEGY AND MESSAGING,consulting
348,LEGAL CONSULTING SERVICES,consulting
256,ONLINE CONSULTING,consulting
3942,ESTIMATE:TELEMARKETING CALLS,fundraising
1473,DIGITAL ADVERTISING (ESTIMATE),digital
5483,LODGING FOR CANVASSER,field
2600,INTERNET AD BUY,digital
3561,PAYMENT FOR SALARY AND OTHER CANVASS-RELATED EXPENSES FROM 6/18-6/30,field
7591,WEB AD CREATION & PRODUCTION (FIRE KUSTER),digital
3031,MAILERS (EX-IM (CHINA/RUSSIA)),media
6499,PRODUCTION COST- MAIL PIECE 4,media
820,TV AD PRODUCTION 'TRICK-HILL',media
7813,TELEVISION ADVERTISING AND MEDIA BUYS,media
3161,TELEVISION MEDIA AIRTIME,media
6955,CREATIVE COST - MAIL PIECE 5,media
7350,INDEPENDENT EXPENDITURE - PRINT 4 COLOR,administrative
5275,ADWORDS ADVERTISING,media
5577,REGISTER,field
3836,WEBSITE DESIGN/DEVELOPMENT,digital
5758,POSTAGE FOR RECEIPTS,administrative
5482,POSTAGE FOR MAILING,administrative
200,MAIL PROGRAM,field
7068,MATEIALS FOR EVENT,administrative
6236,"FACEBOOK PAGE PUSH AD, ONGOING",digital
3425,VOICE OVER VIDEO,media
6188,OBAMA/BIDEN YARD SIGNS,field
2701,CANVASS FIELD SITE MANAGER,field
7492,TV AD BUY & PRODUCTION,media
5286,TEAMSTERS FOR OBAMA CAR MAGNETS,field
3784,INTERNET WEB AD - 'WHAT AMERICA WILL YOU LEAVE ME?',digital
812,BANK FEES,polling
5925,IE-CASEY-VOTER MAILING,field
5923,NEWSPAPER PRINT AD,media
2114,MEDIA BUY - 09/14/2012,media
59,DIGITAL ADVERTISING BUY,digital
316,FUEL FOR CANVASS,field
2524,BILLBOARD ADVERTISEMENT FOR ROMNEY,media
4157,MEDIA PROMOTION,media
805,TV AD PLACEMENT 'TRICK-CAUSEY',media
2448,PD ROBO CALLS - GOTV DONE 10.29,field
366,DIGITAL AD PRODUCTION COSTS (PULLED FROM ADVANCE LINE 21),digital
6305,ONLINE VIDEO PRODUCTION-ESTIMATED COSTS,digital
2839,ADOVCACY TELEPHONE CALLS,field
2162,GAS FOR CANVASSING,field
7136,AUGUST/SEPTEMBER MONTHLY ONLINE ADVERTISING FEES,digital
29,IE-OPPOSE WARD-MEDIA BUY,media
2034,NEW TV AD PRODUCTION COSTS TO EXISTING AIR BUY (REPORTED ON 4/12/12),media
7966,CREATION OF ONLINE AND SOCIAL MEDIA ADS RUNNING 8/17 - 8/31,digital
2163,ADVERTISING - RADIO (EST),media
7771,PRINTING - VOTE JEANNE SHAHEEN U.S. SENATE,media
565,E-MAIL DELIVERY,digital
3275,PRINTING AND MAILING 10/21,administrative
5101,DIRECT MAIL - POSTAGE & PRODUCTION,fundraising
844,SURVEY COST,polling
2702,OH-08 DATA PURCHASE W/EMAIL DEPLOYMENT,digital
393,INV. # 81640 - HATS AND T SHIRTS - CRITZ CAMPAIGN,field
4936,IE-SASSE-EMAIL/SOCIAL MEDIA/PRINTING,digital
756,BEN GREENSLADE SALARY,misc
3947,STAFF TIME:EMAIL CREATION,digital
133,IN KIND STAFF,administrative
499,TELEVISION EXPENSE,media
6911,LUNCH,administrative
2324,PAC DIRECT MARKETING,fundraising
216,TELEPHONE CALLS,field
6878,SOCIAL MEDIA PRODUCTION & PLACEMENT: HEARTBEAT,digital
4699,"MOBILE ADVERTISING (PRODUCTION, 'STRONGER AMERICA' 30)",digital
654,UFCW FOR OBAMA STATIC WINDOW CLINGS,administrative
6183,ONLINE ADVERTISING 8/13,digital
2699,"TV AND DIGITAL ADVERTISEMENT CHUCK GRASSLEY FOR JONI ERNST SUPPORTING JONI ERNST, 9/17 - 10/7.",digital
5045,POSTAGE FOR MAILERS ('OBAMACARE'),media
7047,MEDIA - DIGITAL ADVERTISEMENT.,digital
1467,WATER BOTTLES,administrative
697,LEGAL SERVICE,legal
7750,OFFICE EXPENSES FOR FIELD PROGRAM;8/1-8/31,field
4672,CAMPAIGN LITERATURE AND MAILINGS; POLLING AND SURVEY RESEARCH,polling
2835,"TV AND DIGITAL MEDIA OPPOSING TED STRICKLAND, BATTLING, 5/20 - 5/27.",digital
720,FEC ACCOUNTING AND COMPLIANCE,legal
6944,PAPER FOR COPYING FLYERS (PERIOD JULY 9 - AUG 15),media
891,IN KIND RESEARCH SERVICES,polling
4296,DIGITAL AD-ESTIMATED COSTS,digital
443,TV CABLE BUY,media
1844,AUGUST MONTHLY OUTBOUND PHONE FEES,administrative
1759,RADIO AD PRODUCTION COST BUSINESS PAGES,media
1210,RADIO ADS STARTING 5/6,media
6799,IE-MCCONNELL-RENT,administrative
2475,DECEMBER MONTHLY ONLINE ADVERTISING FEES,digital
7199,ADVERTISING - PRODUCTION (ALSO OPPOSES LIEU),media
6842,ADMINISTRATIVE FEES,administrative
3787,AD PRODUCTION AND MEDIA BUY,media
5962,1/3 OF TV BUY,media
287,CONSULTING COMPLIANCE,consulting
3564,"POSTAGE, 3RD CD FLIER",media
2935,7/2 TO 7/6 RADIO ADVERTISING,media
369,FINANCE DIRECTOR,field
497,TELEPHONE CALLS 'EARLY VOTE FOR BEGICH',field
1790,POLLING/TELEMARKETING,fundraising
994,SEE BELOW TRAVEL,travel
890,ESTIMATE OF JANUARY MONTHLY ONLINE ADVERTISING FEES,digital
3600,IE-KAINE-CANDIDATE BOOKS,field
5470,NEWSPAPER ADVERTISING PRODUCTION,media
3723,PHONE CREDIT FOR PHONEBANK EVENT,polling
7970,"VIDEO PRODUCTION, AIRTIME (TV & CABLE)",media
3552,"OP-ED (OBAMACARE & NEVADANS) - DID NOT CROSS $10,000 THRESHOLD",media
7065,CONSULTING JULY,consulting
4584,SOCIAL MEDIA PLACEMENT: HEARTBEAT & PROMISES,digital
4085,DIRECT CALLS,field
6885,BROADCAST TV MEDIA BUY (PLEDGE),media
71,WEBSITE DESIGN,digital
4367,DIRECT MAIL - 'FOUR REASONS',fundraising
4066,IE-MILLER-ADVERTISIGN,media
624,AUDIO VISUAL SERVICES AMEX SB2311631135,media
618,AUDIO VISUAL SVC STAGING,media
6504,IE-RADIO-MILLS,media
576,GENERIC CMTE SUBSCRIPTIONS,media
744,BEN CONNORS BONUS,legal
899,PREPAID GAS CARDS,travel
2588,SUPPORT OF JASON CONGER,administrative
5500,BUS TOUR,travel
4204,DIRECT RESPONSE TV/INBOUND INTERACTIVE VOICE RECOGNITION 8/28-8/31(ESTIMATE),media
7775,field,field
486,FUNDRAISING MANAGEMENT FEE,fundraising
513,PHONE BANKS - FL 08-13-12,polling
69,PAYROLL EXPENSES,administrative
1500,POST CARDS,administrative
4323,PRODUCTION EXPENSES (ESTIMATED),media
7084,"REIMBURSEMENT - GAS, STORAGE",travel
5486,MEDIA BUY:  TELEVISION ADVERTISEMENT,media
103,CC PAYMENT,administrative
7391,SNACKS FOR VOLUNTEERS/CANVASSERS,field
917,REIMBURSEMENT FOR TRAVEL EXPENSES,travel
6794,MEDIA BUY & PRODUCTION: RADIO,media
3996,DESIGN OF NEWSPAPER AD,media
7119,CATHERINE AGAINST NEVADA DIGITAL ADVERTISEMENT PRODUCTION (EXCEEDED $10K ON 9/15/2016),digital
5743,ONLINE DIGITAL ADVERTISING,digital
4320,PRODUCTION OF TV AD,media
6293,IE-FITZPATRICK-ONLINE ADS,digital
1543,PRESS RELEASE (PULLED FROM ADVANCE LINE 21),media
1229,MAIL DESIGN (DEFEAT RAHALL 3),media
4800,USPS POSTAGE - SPENDING CROMNIBUS MAILER,media
361,VOTER OUTREACH SERVICES,field
1991,IE-OVERHEAD/STAFF TIME,administrative
6131,AERIAL BANNERS,media
2191,DIRECT MAIL OF 'MADE IN' - ESTIMATE,fundraising
241,IE-HASNER-VOTER ID CALLS,field
2068,PRODUCTION OF :30 SECOND TV SPOT,media
5671,FLORIDA FIRST STAFF EXPENSES (EXCEEDED $1K ON 10/29/2016),administrative
367,VOTER CONTACT CALLING,field
3847,REIMBURSEMENT OF CAB FARE,travel
1561,4/16 TO 4/22 DIGITAL ADVERTISING,digital
2312,FIELD CANVASS ID,field
479,RENTAL OF OFFICE SPACE,administrative
4565,HOTEL EXPENSES FOR PHONE BANK STAFF,field
3803,IE-DUCKWORTH-MEDIA BUY,media
186,EQUIPMENT PURCHASE,administrative
934,POLITICAL RESEARCH ANALYSIS,polling
6752,POSTAGE OF INVITATIONS FOR FUNDRAISER,fundraising
1376,IE-MACK-YARD SIGNS/DOOR HANGERS,field
6610,PREDICTIVE DIALER MINUTES FOR VOLUNTEER PHONE BANKS,field
390,ESTIMATED DIGITAL AD PLACEMENT- MILITARY,digital
7264,IE-MCDANIEL-MEDIA PRODUCTION-ESTIMATED,media
115,STAFF SALARIES,administrative
5110,PRODUCTION AND POSTAGE OF MAILERS,media
790,DIGITAL MEDIA/PRODUCTION/PLACEMENT - LOUISIANA,digital
1918,POST-PRODUCTION OF RADIO AD,media
6054,WEB AD PLACEMENT (WHAT HAS UDALL DONE FOR YOU),digital
1997,CREATIVE COST- MAIL PIECE 3,media
2271,"PHONE BANKING; 9/1 - 10/9. COSTS DO NOT EXCEED $10,000 UNTIL 10/9/14",polling
6744,TV AD PRODUCTION - AUDIO. AD SUPPORTS CHRIS MCDANIEL AND AIRS JUNE 17TH TO JUNE 24TH.,media
7604,IE-PRINTING-JOLLY,administrative
685,001 ACCOUNTING FEES,legal
1104,"FEDERAL AD MAILER PRODUCTION, PRINTING AND POSTAGE",media
6360,IE-SOUTHERLAND-DOOR HANGERS,field
1990,DIGITAL AD DELIVERY (RUN DATES 8/29 - 9/09/2014),digital
2624,PRINT AD (ALSO OPPOSES TED CRUZ),media
4620,MEDIA BUY (BACK),media
253,CELL PHONE SERVICE,field
7210,IE-DASHER-ROBO CALLS,field
2959,IE-POSTAGE/PRINTING-ERNST,administrative
957,WEBSITE SERVICES; DISSEMINATION DATE 05/26/2016,digital
402,HIGH NOON LETTER,administrative
817,NATIONAL POLITICAL DEPT STAFFING TRAVEL,travel
501,FUNDRAISING SERVICES FOR PAC NO FED CANDIDATES,fundraising
490,CONSULTANT DIRECT MAIL,consulting
552,DONATION TO CHARITY,fundraising
4107,"TV AD PRODUCTION, STUDIO TIME, RELATED SERVICES",media
5464,IES TELEVISION,media
1662,PRODUCTION COST 'NY-27' 'CHANCE',media
6881,TV ADVERTISING AND BUY,media
3936,CANVASSER -GREEN BAY,field
6830,"PRINTING, POSTAGE, MAILHOUSE",administrative
6818,INTERNET ADS START 5/25,digital
7449,MEDIA BUY- TV,media
1023,PRINTING - ESTIMATE - 'HD 144 GOTV DOORHANGERS',administrative
7992,IE-WEHBY-MEDIA BUY,media
5326,TV AD 'HOMEWORK' AND 'SENIORS',media
6101,IE-LEE-EMAIL LIST RENTAL,digital
4022,OBAMA DVDS: POSTAGE & MAILING,media
6971,IE-HATCH-MEDIA PRODUCTION,media
903,TRAVEL MILEAGE REIMBURSEMENT,travel
5008,"DIGITAL ADVERTISING OPPOSING RUSS FEINGOLD, GIVE AND TAKE, MAY 25 - JUNE 13.",digital
418,IE COPYWRITING - NON CONTRIBUTION ACCOUNT,administrative
2317,RADIO ADS FRO VICKY HARTZLER,media
306,RESEARCH CONSULTANT,consulting
686,LEGAL COMPLIANCE,legal
758,LEGAL SERVICES FOR INCORPORATINPETITION ETHICS,legal
5058,EMAIL COPYWRITING - ESTIMATED COST,digital
3487,AIRFARE FOR PRODUCTION FOR PHONE BANKS,polling
1672,AUTOMATED ADVOCACY (ESTIMATE),field
4473,POSTAGE FOR MAILER (MCGINTY FLAG MAILER B),media
53,CREDIT CARD,administrative
4354,PAID CALLS,polling
1148,GET-OUT-THE-VOTE CALLS,field
6743,"FEDERAL RADIO AD DEVELOPMENT, PRODUCTION AND AD BUY",media
267,MEDIA PRODUCTION -- NATIONAL -- NOT STATE SPECIFIC,media
1911,IE-TOOMEY-SIGNAGE,field
5998,"TRAVEL, SALARY AND SUPPLIES FOR CANVASS",field
7150,PRO-REID MESSAGING/COMMUNICATION,media
