Purpose Code,Categorization
TV / MEDIA PRODUCTION,media
POSTAGE PRINTING/PRODUCTION,administrative
TELEVISION AD PLACEMENT & PRODUCTION,media
STAFF SALARIES,administrative
AD BUY,media
IN KIND STAFF,administrative
TV AD PLACEMENT,media
DIGITAL AD BUY,digital
TELEVISION AD,media
VOTER CONTACT PHONES: PERSONNEL,field
TV MEDIA PLACEMENT,media
RADIO MEDIA PLACEMENT,media
RADIO ADVERTISING; ALSO OPPOSES MITT ROMNEY,media
MEDIA PLACEMENT FOR NATIONAL BUY ON FOX NEWS-ALSO OPPOSE KASICH RUBIO AND CHRISTIE,media
MEDIA PLACEMENT - DIGITAL,digital
PRINTING,administrative
RADIO ADVERTISING BUY,media
TV BROADCAST,media
TV AND INTERNET ADVERTISING,digital
MEDIA BUY - TV/CABLE,media
TV/DIGITAL ADVERTISING,digital
"MEDIA PRODUCTION, CREATIVE AND FOCUS GROUP",media
TV/MEDIA PRODUCTION,media
ADVERTISING - MEDIA PLACEMENT (ESTIMATE),media
"MEDIA PRODUCTION, CREATIVE AND PLACEMENT",media
MAILER AND POSTAGE,administrative
SERIES OF MAILERS,administrative
MEDIA BUY AND PRODUCTION (ALSO OPPOSES DANIEL WEBSTER),media
DIGITAL MEDIA,digital
MEDIA BUY TV & CABLE,media
MEDIA DIGITAL ADVERTISING BUY,digital
TV/CABLE PLACEMENT,media
MEDIA PLACEMENT-ALSO OPPOSES TRUMP AND CRUZ,media
ADVERTISEMENT,media
MAIL,administrative
TV AD FACTORY AND NOT TELLING,media
DIRECT MAIL PRODUCTION,fundraising
DIGITAL MEDIA PLACEMENT,digital
PHONE BANKS,polling
POSTAGE/PRODUCTION FOR POSTCARDS,administrative
PAC ADVERTISING,media
EST. PAYMENT FOR SALARY AND OTHER CANVASS-RELATED EXPENSES FROM 9/17-10/5,field
MEDIA PLACEMENT - TV/CABLE/DIGITAL,digital
DIRECT MAIL POSTAGE,fundraising
TV AD BUY AND PRODUCTION,media
CANVASSING EXPENSES,field
MEDIA PLACEMENT-ALSO OPPOSES TRUMP,media
TV/RADIO AD PLACEMENT,media
TV ADVERTISEMENT,media
RADIO ADVERTISEMENT,media
ADD TO EXISTING TV AD AIR BUY,media
TELEPHONE CALLS,field
TV AD COMMITTEE,media
ADVERTISING - MEDIA,media
STAFFING AND SERVICES FOR FIELD CANVASSERS,field
VOTER OUTREACH,field
TV ADS,media
VOTER CONTACT CALLS,field
PRODUCTION AND TIME FOR TV AD,media
"TV ADVERTISING OF 'PREDATORY', 'TALK', 'RIGGED', 'DISAPPEARED', 'WRONG'",media
TELEVISION ADVERTISEMENT PRODUCTION AND MEDIA BUY - 'HEADLINES',media
MEDIA PRODUCTION COSTS,media
"TV AND DIGITAL MEDIA SUPPORTING JOE HECK, GENERAL, 5/31 - 6/24.",digital
TV MEDIA BUY,media
MEDIA BUY - TV & CABLE,media
POSTAGE FOR MAIL PIECE,administrative
MEDIA BUY; ALSO OPPOSES RICK SANTORUM,media
MEDIA PRODUCTION ESTIMATE,media
ADWORDS ADVERTISING,digital
FIELD CANVASS CONSULTING (ESTIMATE),field
TV ADVERTISING OF 'LEADER',media
MEDIA PLACEMENT-NATIONALLY DISSEMINATED,media
DIGITAL ADS,digital
EST. PAYMENT FOR SALARY AND OTHER CANVASS-RELATED EXPENSES FROM 10/6-10/20,field
VOTER CONTACT COMMUNICATIONS,field
FLORIDA FIRST TELEVISION ADVERTISEMENT,media
TELEVISION AND RADIO PRODUCTION AND MEDIA BUY -- 40 YEARS AND EXPLORATION,media
"CREATIVE, PRODUCTION, MEDIA BUY",media
MEDIA ADVERTISING,media
"MEDIA SCHEDULE, TV",media
ADVERTISING-PLACEMENT OF WEB ADS (NEW IDEAS & TICK TOCK),digital
"DIGITAL AD PLACEMENT, PRODUCTION COSTS",digital
PRODUCTION,media
EST. PAYMENT FOR SALARY AND OTHER CANVASS-RELATED EXPENSES FROM 10/21-11/6,field
MEDIA PLACEMENT - ALSO OPPOSES RUBIO NATIONAL CABLE BUY ON FOX NEWS CHANNELS,media
VIDEO PRODUCTION,digital
MEDIA BUY AND PRODUCTION; ALSO OPPOSES DEBORAH HALVORSON AND TOI HUTCHINSON,media
TELEVISION,media
CANVASING,field
CANVASSING AND ORGANIZING SERVICES,field
MEDIA PLACEMENT - ALSO OPPOSES RUBIO & KASICH,media
TV AD PLACEMENT: REAL SOLUTIONS,media
MEDIA BUY - TV,media
"TELEVISION, SOCIAL AND ONLINE MEDIA BUY",digital
TELEVISION PRODUCTION AND MEDIA BUY - DIRTY HANDS,media
PRINTING/PRODUCTION POSTAGE,administrative
TELEVISION ADVERTISING (PLACEMENT COSTS),media
TV AD PLACEMENT: A NEW PATH,media
"VIDEO PRODUCTION, AIRTIME (TV & CABLE)",media
MEDIA BUY; ALSO OPPOSES BARACK OBAMA,media
DIRECT MAIL - POSTAGE,fundraising
RADIO / MEDIA PLACEMENT,media
MEDIA PLACEMENT & PRODUCTION,media
RADIO BUY,media
MEDIA PRODUCTION/PLACEMENT,media
TV ADVERTISEMENT.,media
TELEVISION AD PLACEMENT,media
TV AD PLACEMENT (FLOOD OF LIES),media
TELEVISION MEDIA BUY - 'HEADLINES',media
ADVERTISING SERVICES,media
MEDIA PLACEMENT - TV/CABLE,media
MEDIA PLACEMENT - ALSO OPPOSES TRUMP CRUZ & RUBIO,media
MEDIA BUY-TV,media
NATIONAL RADIO ADVERTISING,media
MEDIA BUY RADIO,media
"MEDIA BUY, TV & CABLE",media
LITERATURE,field
POLLING,polling
MEDIA PLACEMENT - CABLE (NATIONAL),media
TELEVISION PRODUCTION AND MEDIA BUY - PLAN,media
IE-DUCKWORTH-MEDIA BUY,media
MEDIA TIME TO AIR TELEVISION ADVERTISEMENT,field
VOTER CANVASS LITERATURE,field
DIRECT VOTER CONTACT,media
TV ADVERTISING BUY & PRODUCTION,media
BROADCAST TV PLACEMENT,media
MAIL PIECE,administrative
T.V. OR CABLE AIRTIME AND PRODUCTION COSTS,media
EST. PAYMENT FOR SALARY AND OTHER CANVASS-RELATED EXPENSES FROM 10/21-11/2,field
TELEVISION BUY AND PRODUCTION COST - DECIDING,digital
ON LINE ADVERTISING,administrative
PHONE/MAIL COMMUNICATION,administrative
BROADCAST AND CABLE TV,media
INTERNET ADS,digital
ADVERTISING-TV PLACEMENT (SO MANY THINGS),media
TV ADVERTISING (PLACEMENT COST),media
MEDIA BUY - CANDIDATE SPECIFIC,media
TELEMARKETING FUNDRAISER,fundraising
PRODUCTION AND MEDIA BUY,media
TV AD PLACEMENT (MCGINTY CORPORATE SUBSIDIES),media
ADVERTISING - DIGITAL,digital
TV AD BUY AND PRODUCTION COSTS,media
DIGITAL MEDIA BUY AND PRODUCTION,digital
ESTIMATED COST FOR DIGITAL ADVERTISING BUY,digital
TELEMARKETING,field
GOTV CALLS,field
CABLE AND RADIO ADVERTISING,media
ON LINE ADVERTISING COST,digital
PRINTED ADVERTISING FOR MAILING,media
VOTER CONTACT PHONES,field
ONLINE VIDEO PRODUCTION COSTS,digital
TIME FOR TV AD,media
"TV AND DIGITAL MEDIA MAGGIE'S BIG GOVERNMENT OPPOSING MAGGIE HASSAN, 5/20 - 6/1.",media
"TV AND DIGITAL ADVERTISEMENT OPPOSING PATRICK MURPHY, JULY 6 - 15.",media
"TELEVISION MEDIA OPPOSING TED STRICKLAND, 8/11 - 9/8.",media
BROADCAST/CABLE ADVERTISING RUNNING 10/24/12 - 10/30/12.,media
INTERNET WEB AD - 'WHAT AMERICA WILL YOU LEAVE ME?',digital
TV AD FOOLED,media
TIME PURCHASE FOR TV ADVERTISING,media
MEDIA BUY; ALSO OPPOSES NEWT GINGRICH AND SUPPORTS MITT ROMNEY,media
FIELD CAMPAIGN CONSULTING,consulting
TV AD BEST,media
PAID COMMUNICATION - MAIL,administrative
EMAIL AND INTERNET ADVERTISING; ALSO SUPPORTS NEWT GINGRICH,digital
"TV ADVERTISEMENT THE KING SUPPORTING THOM TILLIS, 9/30 - 10/13.",media
TV PRODUCTION AND BUY,media
IE-TISEI-MEDIA BUY,media
MEDIA PLACEMENT - TELEVISION,media
ESTIMATED COST FOR CANVASSING SERVICES FROM 10/31-11/6,field
PHONE BANKING,polling
MEDIA PLACEMENT - SATELLITE,media
PRODUCTION AND TIME BUY FOR TV AD,media
TELEVISION PRODUCTION AND MEDIA BUY - NO GO,media
"MEDIA OPPOSING KATIE MCGINTY, 09/15/16 - 09/30/16",media
MEDIA RADIO ADVERTISING BUY,media
IE-STENBERG-MEDIA BUY,media
MEDIA PLACEMET,media
"LABOR, POSTAGE, AND PRINTING FOR POSTCARDS",administrative
TELEVISION AD BUY - 'VOTE',media
TELEVISION AD BUY - 'ONE IN EIGHT',media
TELEVISION AD BUY - 'ONE AND EIGHT' AND 'THREE DAYS',media
RADIO ADVERTISEMENTS,media
BROADCAST MEDIA PLACEMENT,media
EST. PAYMENT FOR SALARY AND OTHER CANVASS-RELATED EXPENSES FROM 7/29-8/31,field
"TV ADVERTISING OF 'PREDATORY', 'TALK', 'RIGGED', 'DISAPPEARED', 'WRONG' - ESTIMATE",media
TV ADVERTISING PRODUCTION AND TIME,media
RADIO AD WALK THE WALK,media
TV PLACEMENT (BRUCE'S STORY),media
AD PRODUCTION,media
"TV AND DIGITAL ADVERTISEMENT POWER OPPOSING MARK UDALL, 9/4 - 9/17.",digital
MAILERS,administrative
IE-MCDANIEL-MEDIA BUY,media
DOOR HANGERS,field
TELEVISION ADVERTISING OF 'QUESTION',media
STAFF SALARY,administrative
MEDIA PLACEMENT-ALSO OPPOSE KASICH AND CHRISTIE,media
MEDIA BUY  - 'GOING HOME',media
TELEVISION PRODUCTION AND MEDIA BUY - CAN'T AFFORD,media
ONLINE ADS,digital
"TV, RADIO & DIGITAL ADS TO BE BROADCAST 10/14 &10/17",media
MEDIA BUY & PRODUCTION,media
BILLBOARDS,media
"ADVERTISING - TV - ALSO OPPOSES RUBIO, TRUMP",media
MAILER AND POSTAGE (ESTIMATE),administrative
DIGITAL ADVERTISING BUY,digital
E-MAIL LIST RENTAL,digital
IN-KIND: EST. PAYMENT FOR SALARY AND OTHER CANVASS-RELATED EXPENSES FROM 10/1-11/6/12,field
SOCIAL MEDIA PLACEMENT: REAL SOLUTIONS,digital
TV AD PRODUCTION,media
NATIONAL CABLE MEDIA BUY,media
TELEVISION PRODUCTION AND MEDIA BUY - IMAGINE,media
"BROADCAST/CABLE ADVERTISEMENTS RUNNING FROM OCTOBER 16, 2012 TO OCTOBER 23, 2012.",media
TV AD AROUND THE WORLD,media
TELEVISION AND DIGITAL MEDIA BUY - 'NEWTOWN',digital
DIRECT MAIL PRODUCTION AND POSTAGE,fundraising
TV AD 'FAMILY',media
ADVERTISING - PLACEMENT OF WEB AD (VOTED FOR),digital
"MEDIA PRODUCTION, PLACEMENT",media
PRODUCTION AND TIME BUY FOR RADIO AD,media
TV ADVERTISEMENT STARTING 8/30/16,media
T-SHIRTS,field
CANVASS,field
TV AD INSIDER & BY THE NUMBERS,media
TELEVISION PRODUCTION AND MEDIA BUY - WHAT,media
TV AD 'BEHIND',media
AD BUY - NV 'I'M ONE',media
ADDITIONAL TV AD BUY,media
TV PURCHASE,media
TELEPHONE VOTER CONTACT,polling
TV AD AIR BUY PRODUCTION COSTS TOUGH GUY,media
"POSTAGE, PRINTING / PRODUCTION",administrative
TV AD FACTORY,media
ESTIMATE: PHONE CALLS,administrative
TV AD PLACEMENT (DEFEAT 'PAY-MORE' PATRICK),media
WEB ADVERTISING,digital
ONLINE VOTER CONTACT,digital
DIRECT MAIL SERVICES AND POSTAGE; DISSEMINATION DATE 05/24/2016,fundraising
ADVERTISING - TELEVISION,media
TV AIR TIME PURCHASE,media
TV AD ('DEFEAT 'PAY-MORE' PATRICK'),media
DIRECT MAIL EXPENSE,fundraising
TV ADS - GAMBLE,media
TELEVISION AD PRODUCTION AND MEDIA BUY - AMERICAN ENERGY,media
NATIONAL GOTV TV AND DIGITAL AD BUY,field
ROBO CALLS,field
PRODUCTION AND PLACEMENT FOR TV ADVERTISING,media
SALARY,administrative
TELEVISION AND ON-LINE ADVERTISING,digital
PAYMENT FOR VOTER CONTACT PROGRAM,field
MEDIA BUY; ALSO OPPOSES RICK PERRY,media
TV - 'SIDE',media
TELEVISION AND RADIO ADVERTISING,media
"MAIL PRODUCTION COSTS, POSTAGE",administrative
OUTDOOR ADVERTISING,media
SOCIAL MEDIA PLACEMENT: FED UP,digital
VOTER OUTREACH & PRINTING,field
RADIO AD PLACEMENT,media
VIDEO PRODUCTION (ESTIMATE),digital
TELEVISION MEDIA BUY - 'ONE IN 8',media
ADVERTISING/TV,media
TV AD & PRODUCTION COSTS,media
MEDIA PLACEMENT-ALSO OPPOSE BUSH AND CLINTON,media
MEDIA BUY TV AND CABLE,media
TELEVISION AND DIGITAL ADVERTISEMENT PRODUCTION AND BUYS,media
DIGITAL MEDIA PRODUCTION/PLACEMENT,digital
BROADCAST/CABLE AND DIGITAL ADVERTISING,digital
MEDIA - NON-CONTRIBUTION ACCOUNT,media
PHONE BANK,polling
TV AND DIGITAL AD,digital
ROBOCALLS,field
RESEARCH,consulting
MEDIA/TV PLACEMENT,media
"TELEVISION ADVERTISING (ALSO OPPOSES ROMNEY, GINGRICH)",media
IE-CRUZ-MEDIA BUY,media
CABLE ADVERTISING (PLACEMENT),media
RADIO TV & ONLINE ADS 'REPUBLICANS',media
"TV AND DIGITAL ADVERTISEMENT ALASKA ENDORSEMENT SUPPORTING DAN SULLIVAN, 10/3 - 10/14.",digital
"TV AND DIGITAL ADVERTISEMENT ALASKA ENDORSEMENT OPPOSING MARK BEGICH, 10/3 - 10/14.",digital
"TV, RADIO AND DIGITAL NEVER BACKING DOWN IN SUPPORT OF TODD YOUNG, 3/28 - 5/3.",digital
TELEVISION BUY AND PRODUCTION COST - THE EXPRESS,media
TV AD GREED,media
TV AD PRODUCTION & PLACEMENT: DELPHI,media
"MEDIA OPPOSING KATIE MCGINTY, 10/27 - 11/8.",media
"MEDIA OPPOSING JASON KANDER, 10/21 - 11/8.",media
INTERNET AD & TV AD GREED,digital
TV AD FELONY,media
ESTIMATED COST FOR CANVASSING SERVICES FROM 10/24-10/30,field
VOTER CONTACT MAIL - RYAN BOOKLET,field
TV  AD BUY,media
NATIONAL RADIO AND EMAIL ADVERTISING; ALSO OPPOSES MITT ROMNEY,digital
TV ADVERTISING OF 'CHOICE' - ESTIMATE,media
PRINTING & POSTAGE,administrative
PRINTING / POSTAGE,administrative
ONLINE/DIGITAL ADS & PRODUCTION,digital
TV AD PLACEMENT ('FLOOD OF LIES'),media
"RADIO AD AIR BUY, PRODUCTION COSTS",media
TV & CABLE MEDIA BUY,media
TV AD CAME FROM,media
PRINTING FOR MAILPIECE,administrative
RADIO AND EMAIL ADVERTISING; ALSO OPPOSES MITT ROMNEY,media
MEDIA BUY - CABLE (NATIONAL),media
MEDIA PRODUCTION & TIME BUY,media
ADD TO TV AD AIR BUY,media
STAFFING AND SERVICES FOR FORTY FIELD CANVASSERS,field
EST. PAYMENT FOR SALARY AND OTHER CANVASS-RELATED EXPENSES FROM 9/6-9/30,field
EST. PAYMENT FOR SALARY AND OTHER CANVASS-RELATED EXPENSES FROM 10/1-11/6,field
TV AD MOM,media
TV AD PLACEMENT: JANESVILLE,media
RADIO PRODUCTION AND BUY,media
PRINTING - ESTIMATE,administrative
VOTER CONTACT-TELEPHONE CALLS,field
MEDIA BUY TV AND RADIO,media
MEDIA BUY - TV/CABLE/RADIO/DIGITAL,media
MAILINGS,administrative
EST. PAYMENT FOR SALARY AND OTHER CANVASS-RELATED EXPENSES FROM 9/1-9/16,field
VOTER CONTACT PHONES: SYSTEM,field
RADIO MEDIA BUY,media
"TV AND DIGITAL ADVERTISEMENT KINGSTON JOBS SUPPORTING JACK KINGSTON, 4/30 - 5/20.",digital
DIGITAL WEB AD PLACEMENT (OBAMACARE),digital
FIELD WORK,field
TV AD BEHIND,media
PURCHASE OF TV TIME,media
TV/CABLE ADVERTISING BUY,media
TELEVISION BUY AND PRODUCTION COST - OWN IT,media
TV AD HALLS,media
ONLINE ADVERTISING BUY,digital
WEB VIDEO,digital
"TV AND ONLINE ADVERTISEMENT WENT, 4/30 - 5/19.",digital
TELEVISION AND RADIO PRODUCTION AND MEDIA BUY - BRING,media
"MEDIA SUPPORTING JOE HECK, 10/7 - 10/17.",media
TV AD - 'WASHINGTON CHANGE US',media
CAMPAIGN LITERATURE AND MAILINGS,field
"TELEVISION AND DIGITAL MEDIA OPPOSING KATIE MCGINTY, JUNE 8 - JUNE 30.",digital
POLLING EXPENSES,polling
TV AD - POLLUTERS,media
PHONE / MAIL COMMUNICATION,administrative
TV / MEDIA PLACEMENT,media
TIME BUY FOR TV AD,media
TELEVISION ADVERTISING & PRODUCTION OF 'CINDY',media
DIGITAL WEB AD PLACEMENT ('OBAMACARE'),digital
TV ADVERTISING AND PRODUCTION,media
TV BRAODCAST,media
TV AD AIR BUY PRODUCTION COSTS MATH,media
MEDIA BUY & MEDIA PRODUCTION COSTS - ESTIMATE,media
MOBILE ADVERTISING (PLACEMENT),digital
TELEVISION BUY AND PRODUCTION COST - FAILURE,media
INTERNET AD & PRODUCTION COSTS,digital
MEDIA DEVELOPMENT/PLACEMENT,media
ADD TO EXITSTING TV AD AIR BUY,media
DIGITAL AD BUY-ESTIMATED COSTS,digital
FLIERS,field
TELEVISION MEDIA PLACEMENT & PRODUCTION,media
TELEVISION MEDIA BUY - 'PROSECUTORS',media
EMAIL ADVERTISING,digital
IE-MCCAIN-MEDIA BUY,media
ADVERTISING EXPENSE,media
"TV AND DIGITAL ADVERTISEMENT CHUCK GRASSLEY FOR JONI ERNST SUPPORTING JONI ERNST, 9/17 - 10/7.",digital
PAC RADIO ADVERTISING,media
TELEVISION ADVERTISING OF 'LONG ENOUGH',media
WEB AD PLACEMENT (FIRE LANDRIEU),digital
ADS,media
ADVERTISING - AIR TIME,media
TELEVISION ADVERTISING OF 'WEAK',media
TELEVISION ADVERTISING OF 'BAD COMPANY',media
TV/DIGITAL ADS & PRODUCTION-ESTIMATE,digital
TELEVISION PRODUCTION AND MEDIA BUY - BROWNLEY,media
TV & ONLINE ADS 'THE MAN',digital
"TV AND DIGITAL ADVERTISEMENT DYSFUNCTIONAL SUPPORTING CORY GARDNER, 5/7 - 5/31.",digital
CABLE AND TV AD BUY,media
TV AND RADIO ADS,media
ADVERTISING - ONLINE,digital
TV ADVERTISING PRODUCTION,media
VOTER TELEPHONE CONTACT,field
PRINT ADVERTISING,media
MEDIA PLACEMENT - ALSO OPPOSES RUBIO; NATIONAL CABLE BUY ON FOX NEWS CHANNEL,media
FIELDWORK,field
AFFORD TV AD PROD & AIR TIME PURCH,media
BROADCAST ADVERTISING,media
DOOR TO DOOR CANVASS,field
INTERNET ADVERTISING; ALSO SUPPORTS MITT ROMNEY,digital
IE-KIRKPATRICK-MEDIA BUY,media
ESTIMATED COST FOR CANVASSING SERVICES FROM 10/17-10/23,field
TV AD 'FLIGHT',media
IE-WARD-MEDIA BUY,media
"TV AND DIGITAL ADVERTISEMENT STRONG SUPPORTING JACK KINGSTON, 7/8/14 - 7/22/14.",digital
"TV ADS, PRODUCTION & DISTRIBUTION 'DO AWAY WITH'",media
TV ADVERTISING (PLACEMENT),media
PHONES,administrative
DIRECT MAIL - POSTAGE & PRODUCTION,fundraising
TELEVISION ADVERTISEMENT - PRODUCTION AND MEDIA BUY,media
ADVERTISING - TV AD BUY,media
TV AD 'FANCY LITTLE LIFE',media
SUPPORT FOR IE ACTIVITY - TV BUY AND PRODUCTION,media
SUPPORT FOR IE -FIELD CANVASS STARTS 7/31/2014,field
PRODUCTION COSTS,media
VOTER CONTACT MAIL (ALSO OPPOSES ROMNEY),field
MEDIA BUY/PRODUCTION COSTS  (PA),media
"TV AND DIGITAL ADVERTISEMENT RAND PAUL SUPPORTS THOM TILLIS SUPPORTING THOM TILLIS, 10/15 - 10/24.",digital
"TV AND DIGITAL OPPOSING TED STRICKLAND, THE NUMBERS, 4/7 - 4/22.",digital
TV ADS TOTALLY UNACCEPTABLE DEADBEAT,media
TV ADS WARNING ERASED,media
TV ADS BURNED DIGNITY,media
TV ADS WRONG FOR WISCONSIN WRONG AGAIN,media
"TV ADVERTISEMENT CHICKEN DANCE OPPOSING BRUCE BRALEY, 10/22 - 11/4.",media
"TV AND DIGITAL ADVERTISEMENT BETTER WAY OPPOSING KAY HAGAN, 9/4 - 9/17.",digital
"TV AND DIGITAL ADVERTISEMENT BETTER WAY SUPPORTING THOM TILLIS, 9/4 - 9/17.",digital
TV ADVERTISING; PLACEMENT COST (ALSO OPPOSES JOHN DELANEY),media
TV AD PLACEMENT: BATTLE BORN,media
"PRODUCTION, TV AND DIGITAL ADVERTISEMENT, LOVE IN SUPPORT OF PAT TOOMEY 4/29 - 5/18.",digital
"PRODUCTION, TV AND DIGITAL FOR THREE ADS SUPPORTING JOE HECK FOR SENATE, APRIL 25 - MAY 5.",digital
"MEDIA OPPOSING EVAN BAYH, AUGUST 28 - SEPTEMBER 7",media
"MEDIA SUPPORTING TODD YOUNG, AUGUST 28 - SEPTEMBER 7",media
TV AND CABLE MEDIA BUY 10/26/12-11/5/12,media
"TELEVISION AD AIR BUY, PRODUCTION COSTS",media
TELEVISION MEDIA BUY - PROMISE,media
TELEVISION MEDIA BUY - 'PROMISE',media
TV ADVERTISING/PRODUCTION,media
TV ADVERTISING -- PRODUCTION AND PLACEMENT,media
MEDIA PRODUCTION AND PURCHASE,media
DIRECT VOTER CONTACT/DIRECT MARKETING,field
TV ADS 'BETTER PEOPLE',media
"CANVASS, BIRD-DOGGING & RALLIES",field
ADVERTISING SERVICES AND PRODUCTION,media
ADVERTISING-PLACEMENT OF WEB RADIO AD (CHANGE),digital
RADIO AD 'BOGUS',media
TV AD PRODUCTION & PLACEMENT: MOMENT,media
SALARY / BENEFITS,administrative
BROADCAST MEDIA BUY,media
MAIL PRODUCTION AND POSTAGE COSTS,media
DIGITAL AD DISTRIBUTION,digital
MEDIA BUY/PRODUCTION COSTS (CO),media
TELEVISION AND ONLINE VIDEO ADS,digital
MESSAGE PHONE CALLS,field
TV/RADIO PLACEMENT & PRODUCTION,media
MEDIA PLACEMENT - TV/DIGITAL,media
INTERNET ADVERTISING; ALSO OPPOSES MITT ROMNEY,digital
TELEVISION ADVERTISING AND PRODUCTION,media
MEDIA BUY - TV/CABLE/DIGITAL,media
TV ADS 4/30+ TIME AND PRODUCTION,media
PAID CANVASS - PERSUASION & GOTV,field
LIST RENTAL,field
TELEVISON ADVERTISING,media
TV ADVERTISEMENT PLACEMENT.,media
PRODUCTION AND POSTAGE FOR POLITICAL MAIL,administrative
SALARY AND BENFITS,administrative
PRINTING TELEPHONE CALLS & CANVASSING ESTIMATE - GOTV,field
"TV AND DIGITAL MEDIA SUPPORTING JOHN MCCAIN JUNE 23-30, 2016.",digital
RADIO ADS PAY TRADE,media
TELEVISION AND RADIO PRODUCTION AND MEDIA BUY - MAKES SENSE,media
BROADCAST AND RADIO ADVERTISING.,media
TV AND RADIO ADVERTISING,media
SERIES OF MAIL PIECES,administrative
IE-KATKO-MEDIA BUY,media
TELEVISION PRODUCTION,media
MEDIA BUY AND PRODUCTION COSTS,media
PRINTING AND POSTAGE OF MAIL PIECES,administrative
VOTER CONTACT MAIL - BLAME,field
VOTER CONTACT CALLING,field
TV AD PRODUCTION & PLACEMENT: FORM LETTERS,media
TV AD 'NICE',media
TELEVISION ADVERTISING OF 'TROUBLES',media
TV AD PRODUCTION AND AIR TIME START 9/18,media
TV AD PRODUCTION & PLACEMENT: HANDS,media
TV AD PRODUCTION & PLACEMENT: TIED,media
"MEDIA BUY, PRODUCTION, MAILING COSTS",media
MEDIA BUY - CABLE,media
